GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,"Estimate; Owner occupied: - Less than $5,000","Margin of Error; Owner occupied: - Less than $5,000","Estimate; Owner occupied: - $5,000 to $9,999","Margin of Error; Owner occupied: - $5,000 to $9,999","Estimate; Owner occupied: - $10,000 to $14,999","Margin of Error; Owner occupied: - $10,000 to $14,999","Estimate; Owner occupied: - $15,000 to $19,999","Margin of Error; Owner occupied: - $15,000 to $19,999","Estimate; Owner occupied: - $20,000 to $24,999","Margin of Error; Owner occupied: - $20,000 to $24,999","Estimate; Owner occupied: - $25,000 to $34,999","Margin of Error; Owner occupied: - $25,000 to $34,999","Estimate; Owner occupied: - $35,000 to $49,999","Margin of Error; Owner occupied: - $35,000 to $49,999","Estimate; Owner occupied: - $50,000 to $74,999","Margin of Error; Owner occupied: - $50,000 to $74,999","Estimate; Owner occupied: - $75,000 to $99,999","Margin of Error; Owner occupied: - $75,000 to $99,999","Estimate; Owner occupied: - $100,000 to $149,999","Margin of Error; Owner occupied: - $100,000 to $149,999","Estimate; Owner occupied: - $150,000 or more","Margin of Error; Owner occupied: - $150,000 or more",Estimate; Renter occupied:,Margin of Error; Renter occupied:,"Estimate; Renter occupied: - Less than $5,000","Margin of Error; Renter occupied: - Less than $5,000","Estimate; Renter occupied: - $5,000 to $9,999","Margin of Error; Renter occupied: - $5,000 to $9,999","Estimate; Renter occupied: - $10,000 to $14,999","Margin of Error; Renter occupied: - $10,000 to $14,999","Estimate; Renter occupied: - $15,000 to $19,999","Margin of Error; Renter occupied: - $15,000 to $19,999","Estimate; Renter occupied: - $20,000 to $24,999","Margin of Error; Renter occupied: - $20,000 to $24,999","Estimate; Renter occupied: - $25,000 to $34,999","Margin of Error; Renter occupied: - $25,000 to $34,999","Estimate; Renter occupied: - $35,000 to $49,999","Margin of Error; Renter occupied: - $35,000 to $49,999","Estimate; Renter occupied: - $50,000 to $74,999","Margin of Error; Renter occupied: - $50,000 to $74,999","Estimate; Renter occupied: - $75,000 to $99,999","Margin of Error; Renter occupied: - $75,000 to $99,999","Estimate; Renter occupied: - $100,000 to $149,999","Margin of Error; Renter occupied: - $100,000 to $149,999","Estimate; Renter occupied: - $150,000 or more","Margin of Error; Renter occupied: - $150,000 or more"
0400000US53,53,Washington,2636817,10074,1643637,12066,25022,2271,22070,1967,42160,2964,48199,3696,56363,2913,118790,4579,197597,5952,327689,6887,255508,6939,313250,6985,236989,5563,993180,12832,56051,3592,70050,4931,73850,4068,66321,4336,74695,4185,129609,5050,163007,6693,175641,6163,87751,5260,69744,4686,26461,2515
1600000US5363000,5363000,"Seattle city, Washington",289790,4363,132888,3805,2069,718,1278,593,1784,583,2613,719,2495,542,6740,1135,11767,1479,21803,2013,18994,1865,27618,2099,35727,2415,156902,3821,8699,1499,10030,1770,9325,1384,7550,1673,8847,1753,18597,2520,22191,2574,28030,2441,17701,2211,17836,2255,8096,1590
